,Area,Convex Area,Major_axis_length,Plate_id,Well_id,bbox,centroid
1265,336,464,37.063994743916425,DEC_P4,R,"(1680, 827, 1704, 856)","(1689.2738095238096, 842.3482142857143)"
1266,293,498,52.971264055537745,DEC_P4,R,"(1704, 94, 1753, 108)","(1726.1569965870308, 100.41296928327645)"
1267,368,499,45.14306465497484,DEC_P4,R,"(1725, 203, 1749, 242)","(1734.9184782608695, 221.3070652173913)"
1268,238,355,37.77714703125633,DEC_P4,R,"(1822, 94, 1845, 124)","(1834.109243697479, 110.14285714285714)"
1269,361,488,45.25314185216471,DEC_P4,R,"(1831, 271, 1870, 296)","(1849.3850415512466, 282.6925207756233)"
1270,402,562,53.77303726167575,DEC_P4,R,"(1865, 825, 1914, 844)","(1888.94776119403, 834.2089552238806)"
1271,329,445,43.46226460923845,DEC_P4,R,"(1865, 917, 1904, 933)","(1883.6231003039513, 924.8844984802431)"
1272,391,547,47.13553191077169,DEC_P4,R,"(2030, 314, 2062, 349)","(2044.9769820971867, 330.7161125319693)"
1273,701,1373,61.412291255180605,DEC_P4,R,"(2081, 535, 2136, 577)","(2102.9857346647645, 557.2025677603424)"
1274,376,514,48.52127288983934,DEC_P4,R,"(2091, 281, 2132, 306)","(2113.824468085106, 291.4920212765957)"
1275,354,499,44.384412577201566,DEC_P4,R,"(2151, 300, 2192, 320)","(2172.0282485875705, 308.3022598870057)"
1276,374,517,39.51135394211916,DEC_P4,R,"(2222, 894, 2259, 915)","(2240.5748663101604, 904.3422459893048)"
1277,236,297,29.540889750217158,DEC_P4,R,"(2274, 966, 2293, 991)","(2281.9025423728813, 977.3644067796611)"
1278,335,467,43.19460335186368,DEC_P4,R,"(2348, 749, 2387, 765)","(2366.6805970149253, 756.2597014925373)"
1279,676,1036,73.52409836821647,DEC_P4,R,"(2444, 666, 2488, 724)","(2463.7470414201184, 693.7352071005918)"
1280,341,469,41.165038862064506,DEC_P4,R,"(2518, 759, 2541, 795)","(2528.384164222874, 776.9912023460411)"
1281,178,262,24.206189456504983,DEC_P4,R,"(2523, 79, 2541, 101)","(2529.2303370786517, 87.7752808988764)"
1282,314,441,39.25348291906066,DEC_P4,R,"(2523, 358, 2556, 384)","(2537.1560509554142, 372.30573248407643)"
1283,332,443,42.258111761319,DEC_P4,R,"(2607, 205, 2638, 234)","(2621.2831325301204, 219.31024096385542)"
1284,124,143,23.098774799050393,DEC_P4,R,"(2613, 82, 2632, 97)","(2622.6532258064517, 89.37096774193549)"
1285,381,523,50.90624748662528,DEC_P4,R,"(2643, 231, 2684, 260)","(2663.0131233595803, 244.79790026246718)"
1286,188,246,27.921807208188866,DEC_P4,R,"(2645, 79, 2668, 98)","(2658.5425531914893, 89.67021276595744)"
1287,347,457,44.3417033036679,DEC_P4,R,"(2658, 321, 2690, 352)","(2675.406340057637, 338.21613832853023)"
1288,257,368,37.16387483340757,DEC_P4,R,"(2731, 103, 2766, 119)","(2747.863813229572, 110.73540856031128)"
1289,371,524,44.684255015543606,DEC_P4,R,"(2744, 435, 2769, 471)","(2755.55795148248, 453.72237196765496)"
1290,346,452,44.674397899168135,DEC_P4,R,"(2764, 946, 2794, 979)","(2777.973988439306, 961.5462427745665)"
1291,376,543,45.872346403849164,DEC_P4,R,"(2786, 738, 2825, 765)","(2805.273936170213, 751.3723404255319)"
1292,349,505,39.26747200041103,DEC_P4,R,"(2808, 259, 2838, 288)","(2823.2005730659025, 273.6074498567335)"
1293,383,536,53.0555332659433,DEC_P4,R,"(2854, 388, 2902, 407)","(2877.2454308093993, 397.9895561357702)"
1294,367,512,50.95464337917697,DEC_P4,R,"(2869, 124, 2909, 154)","(2887.1525885558585, 140.46594005449592)"
1295,331,453,42.280788442135375,DEC_P4,R,"(2881, 699, 2903, 736)","(2893.2054380664654, 716.5679758308157)"
1296,359,480,42.557809653885556,DEC_P4,R,"(2893, 941, 2934, 956)","(2914.1643454039, 948.5431754874652)"
1297,338,448,39.84005292612457,DEC_P4,R,"(2915, 877, 2951, 899)","(2933.094674556213, 888.1390532544378)"
1298,329,475,39.81591987206347,DEC_P4,R,"(2944, 428, 2968, 464)","(2955.8784194528876, 446.35562310030394)"
1299,423,618,53.62305054416886,DEC_P4,R,"(3018, 805, 3061, 836)","(3040.9763593380617, 822.307328605201)"
1300,355,462,37.8162555118726,DEC_P4,R,"(3025, 600, 3049, 632)","(3037.5718309859153, 615.3323943661971)"
1301,380,526,48.728314892149,DEC_P4,R,"(3049, 892, 3090, 920)","(3068.9473684210525, 905.6052631578947)"
1302,343,449,41.630493478885235,DEC_P4,R,"(3051, 577, 3072, 614)","(3061.793002915452, 595.6297376093295)"
1303,387,541,47.73469935319932,DEC_P4,R,"(3071, 178, 3115, 200)","(3092.7260981912145, 189.04651162790697)"
1304,356,476,47.87063919626669,DEC_P4,R,"(3104, 563, 3123, 605)","(3112.224719101124, 584.2808988764045)"
1305,342,485,44.5166175611734,DEC_P4,R,"(3104, 846, 3138, 876)","(3119.8040935672516, 860.3333333333334)"
1306,383,543,46.92945480706898,DEC_P4,R,"(3120, 274, 3138, 317)","(3128.3577023498697, 293.74412532637075)"
1307,369,508,41.36102654538713,DEC_P4,R,"(3125, 172, 3149, 207)","(3136.379403794038, 190.61246612466124)"
1308,279,389,42.158264042649904,DEC_P4,R,"(3131, 81, 3169, 96)","(3149.1612903225805, 89.23297491039426)"
1309,570,789,39.145830582984956,DEC_P4,R,"(3143, 926, 3171, 969)","(3158.759649122807, 944.0473684210526)"
1310,315,425,37.98542610149115,DEC_P4,R,"(3162, 472, 3182, 508)","(3171.3809523809523, 490.2888888888889)"
1311,359,508,45.31315561462469,DEC_P4,R,"(3206, 376, 3246, 395)","(3224.7548746518105, 384.025069637883)"
1312,363,509,43.566102170317876,DEC_P4,R,"(3232, 683, 3255, 720)","(3242.776859504132, 699.8402203856749)"
1313,226,293,25.033417457039416,DEC_P4,R,"(3390, 513, 3410, 536)","(3397.6858407079644, 526.3141592920354)"
1314,323,462,41.24489458271566,DEC_P4,S,"(370, 288, 394, 322)","(381.0371517027864, 305.85758513931887)"
1315,323,471,44.591565618825534,DEC_P4,S,"(689, 565, 728, 584)","(709.5882352941177, 573.5077399380805)"
1316,351,500,39.59140596023465,DEC_P4,S,"(984, 322, 1011, 354)","(998.6410256410256, 337.2564102564103)"
1317,307,440,43.300713355530775,DEC_P4,S,"(1000, 1022, 1019, 1061)","(1008.4755700325733, 1039.3973941368079)"
1318,271,352,43.33312671271037,DEC_P4,S,"(1067, 507, 1099, 535)","(1083.0738007380073, 519.8708487084871)"
1319,371,544,51.69347997716549,DEC_P4,S,"(1148, 592, 1177, 635)","(1160.123989218329, 614.4393530997305)"
1320,346,498,47.1839063065395,DEC_P4,S,"(1183, 253, 1205, 295)","(1193.3612716763005, 274.2080924855491)"
1321,323,427,42.81318295814106,DEC_P4,S,"(1189, 358, 1216, 392)","(1200.6068111455108, 375.938080495356)"
1322,105,138,18.819928879658523,DEC_P4,S,"(1203, 173, 1220, 185)","(1212.4190476190477, 179.2095238095238)"
1323,257,375,31.81891820033911,DEC_P4,S,"(1243, 533, 1263, 559)","(1254.9105058365758, 547.0583657587549)"
1324,302,338,26.4215261792255,DEC_P4,S,"(1258, 367, 1283, 385)","(1268.7847682119204, 375.5860927152318)"
1325,251,292,22.59055634126399,DEC_P4,S,"(1312, 879, 1334, 897)","(1324.4382470119522, 888.0517928286853)"
1326,294,387,46.83728170065531,DEC_P4,S,"(1347, 504, 1385, 528)","(1364.6666666666667, 516.6904761904761)"
1327,292,430,39.60954243663095,DEC_P4,S,"(1356, 912, 1373, 950)","(1364.3321917808219, 929.5034246575342)"
1328,342,446,47.37549797275607,DEC_P4,S,"(1386, 305, 1409, 346)","(1398.3567251461989, 325.546783625731)"
1329,302,437,44.248258121368494,DEC_P4,S,"(1551, 1002, 1593, 1017)","(1572.0331125827815, 1008.2549668874173)"
1330,248,374,37.111462808502836,DEC_P4,S,"(1766, 1001, 1787, 1034)","(1776.274193548387, 1017.7056451612904)"
1331,295,466,47.22200887729333,DEC_P4,S,"(1798, 908, 1822, 947)","(1810.677966101695, 927.3661016949153)"
1332,330,445,51.32041154404438,DEC_P4,S,"(1860, 716, 1907, 731)","(1883.9363636363637, 722.0969696969697)"
1333,359,580,52.48827994699411,DEC_P4,S,"(1861, 269, 1906, 296)","(1883.4512534818941, 281.96378830083563)"
1334,415,576,54.79261534324562,DEC_P4,S,"(1870, 508, 1890, 556)","(1879.944578313253, 532.3084337349397)"
1335,329,546,44.62042723877818,DEC_P4,S,"(1876, 592, 1914, 615)","(1896.8996960486322, 605.7294832826748)"
1336,334,469,48.468760806996144,DEC_P4,S,"(1877, 915, 1897, 958)","(1887.2844311377246, 936.9940119760479)"
1337,327,504,45.75030520215414,DEC_P4,S,"(1895, 848, 1931, 876)","(1913.7981651376147, 860.4648318042813)"
1338,328,483,47.888179124606516,DEC_P4,S,"(1909, 768, 1933, 807)","(1920.496951219512, 787.1524390243902)"
1339,317,470,35.76973487286673,DEC_P4,S,"(2000, 905, 2034, 927)","(2015.8769716088327, 916.4574132492114)"
1340,300,403,43.0596363229416,DEC_P4,S,"(2019, 747, 2033, 787)","(2025.38, 766.16)"
1341,183,302,34.624486604069205,DEC_P4,S,"(2025, 1038, 2057, 1057)","(2038.120218579235, 1048.51912568306)"
1342,335,485,48.010105407473446,DEC_P4,S,"(2028, 703, 2058, 741)","(2043.3820895522388, 720.8328358208955)"
1343,595,951,54.37065841576603,DEC_P4,S,"(2058, 538, 2104, 575)","(2083.164705882353, 554.5663865546219)"
1344,372,580,44.35534556202469,DEC_P4,S,"(2074, 627, 2098, 669)","(2085.0913978494623, 646.4274193548387)"
1345,361,494,52.46637936094605,DEC_P4,S,"(2075, 366, 2113, 403)","(2091.4570637119114, 385.01108033240996)"
1346,345,464,47.28499848385387,DEC_P4,S,"(2134, 634, 2149, 677)","(2141.817391304348, 656.5739130434782)"
1347,339,504,46.91101655916048,DEC_P4,S,"(2153, 573, 2196, 592)","(2174.9941002949854, 580.1209439528023)"
1348,332,480,38.9764167019579,DEC_P4,S,"(2160, 731, 2185, 764)","(2171.0692771084337, 745.8012048192771)"
1349,352,498,48.74783920987173,DEC_P4,S,"(2163, 615, 2180, 659)","(2169.934659090909, 638.2471590909091)"
1350,307,424,41.150395694552714,DEC_P4,S,"(2172, 223, 2210, 240)","(2190.0781758957655, 230.7654723127036)"
1351,353,539,49.611840324115086,DEC_P4,S,"(2205, 699, 2243, 731)","(2225.6798866855524, 715.4022662889519)"
1352,335,483,38.853349447195576,DEC_P4,S,"(2208, 212, 2241, 233)","(2224.8298507462687, 221.67462686567166)"
1353,351,522,46.21336497961794,DEC_P4,S,"(2211, 833, 2236, 873)","(2223.6153846153848, 851.8433048433048)"
1354,284,382,39.789394161144706,DEC_P4,S,"(2255, 750, 2293, 765)","(2273.239436619718, 757.1021126760563)"
1355,323,445,45.076297598495195,DEC_P4,S,"(2272, 395, 2313, 409)","(2292.390092879257, 401.2910216718266)"
1356,301,427,44.64242607700167,DEC_P4,S,"(2276, 536, 2310, 565)","(2292.514950166113, 550.1229235880398)"
